Proteome	hsp70	mcrA
proteome01	0	0
proteome02	0	0
proteome03	0	0
proteome04	0	0
proteome05	0	0
proteome06	0	0
proteome07	0	0
proteome08	0	0
proteome09	0	0
proteome10	0	0
proteome11	0	0
proteome12	0	0
proteome13	0	0
proteome14	0	0
proteome15	0	0
proteome16	0	0
proteome17	0	0
proteome18	0	0
proteome19	0	0
proteome20	0	0
proteome21	0	0
proteome22	0	0
proteome23	0	0
proteome24	0	0
proteome25	0	0
proteome26	0	0
proteome27	0	0
proteome28	0	0
proteome29	0	0
proteome30	0	0
proteome31	0	0
proteome32	0	0
proteome33	0	0
proteome34	0	0
proteome35	0	0
proteome36	0	0
proteome37	0	0
proteome38	0	0
proteome39	0	0
proteome40	0	0
proteome41	0	0
proteome42	0	0
proteome43	0	0
proteome44	0	0
proteome45	0	0
proteome46	0	0
proteome47	0	0
proteome48	0	0
proteome49	0	0
proteome50	0	0
